Gene,Number_of_Haplotypes,Number_of_Haplotypes_Above_25_Samples
PF3D7_0910700,201,7
PF3D7_0910800,184,9
PF3D7_0910900,89,4
PF3D7_0911000,38,2
PF3D7_0911100,513,16
PF3D7_0911200,53,4
PF3D7_0911300,2690,46
PF3D7_0911400,558,20
PF3D7_0911500,103,8
PF3D7_0911600,293,18
PF3D7_0911700,288,12
PF3D7_0911800,136,3
PF3D7_0911900,247,12
PF3D7_0912000,1823,45
PF3D7_0912100,256,8
PF3D7_0912200,232,13
PF3D7_0912400,88,2
PF3D7_0912500,139,8
PF3D7_0912600,664,24
PF3D7_0912700,47,3
PF3D7_0912800,575,15
PF3D7_0912900,48,6
PF3D7_0913000,56,2
PF3D7_0913100,597,17
PF3D7_0913150,19,1
PF3D7_0913200,108,8
PF3D7_0913300,312,19
PF3D7_0913400,38,3
PF3D7_0913500,98,4
PF3D7_0913600,932,24
PF3D7_0913700,116,8
PF3D7_0913800,37,4
PF3D7_0913900,1013,53
PF3D7_0914000,1358,43
PF3D7_0914100,1125,36
PF3D7_0914200,57,7
PF3D7_0914300,437,15
PF3D7_0914400,20,2
PF3D7_0914500,1890,30
PF3D7_0914600,21,3
PF3D7_0914700,170,8
PF3D7_0914800,19,2
PF3D7_0914900,442,19
PF3D7_0915000,60,3
PF3D7_0915100,5,1
PF3D7_0915200,183,5
PF3D7_0915300,466,11
PF3D7_0915400,221,7
PF3D7_0915500,344,15
PF3D7_0915600,158,5
PF3D7_0915700,59,3
PF3D7_0915800,84,12
PF3D7_0915900,84,4
PF3D7_0916000,1203,34
PF3D7_0916100,77,5
PF3D7_0916200,496,16
PF3D7_0916300,51,4
PF3D7_0916400,3118,28
PF3D7_0916500,122,4
PF3D7_0916600,94,4
PF3D7_0916700,71,5
PF3D7_0916800,14,2
PF3D7_0916900,239,7
PF3D7_0917000,909,21
PF3D7_0917100,690,25
PF3D7_0917200,89,4
PF3D7_0917300,47,6
PF3D7_0917400,1160,23
PF3D7_0917500,216,7
PF3D7_0917600,211,6
PF3D7_0917700,123,3
PF3D7_0917800,170,11
PF3D7_0917900,36,4
PF3D7_0918000,67,2
PF3D7_0918100,81,11
PF3D7_0918200,60,4
PF3D7_0918300,59,3
PF3D7_0918400,444,28
PF3D7_0918500,2,1
PF3D7_0918600,340,11
PF3D7_0918700,811,25
PF3D7_0918800,211,7
PF3D7_0918900,134,4
PF3D7_0919000,21,2
PF3D7_0919100,44,2
PF3D7_0919200,34,2
PF3D7_0919300,43,3
PF3D7_0919400,159,8
PF3D7_0919500,256,30
PF3D7_0919600,165,3
PF3D7_0919700,88,9
PF3D7_0919800,1220,32
PF3D7_0919900,705,8
PF3D7_0920000,258,10
PF3D7_0920100,120,5
PF3D7_0920200,379,11
PF3D7_0920300,103,10
PF3D7_0920400,833,17
PF3D7_0920500,34,5
PF3D7_0920600,718,18
PF3D7_0920700,447,30
PF3D7_0920800,73,7
PF3D7_0920900,271,9
PF3D7_0921000,9,1
PF3D7_0921100,102,3
PF3D7_0921200,1327,32
PF3D7_0921300,123,7
PF3D7_0921400,87,5
PF3D7_0921500,196,12
PF3D7_0921600,1107,27
PF3D7_0921700,202,11
PF3D7_0921800,60,5
PF3D7_0921900,230,17
PF3D7_0922000,347,12
PF3D7_0922100,1191,31
PF3D7_0922200,27,1
PF3D7_0922300,82,3
PF3D7_0922400,218,11
PF3D7_0922500,52,3
PF3D7_0922600,71,3
PF3D7_0922700,89,2
PF3D7_0922800,2560,31
PF3D7_0922900,97,3
PF3D7_0923000,68,4
PF3D7_0923100,76,6
PF3D7_0923200,213,6
PF3D7_0923300,211,12
PF3D7_0923400,658,22
PF3D7_0923500,34,3
PF3D7_0923600,88,2
PF3D7_0923700,110,3
PF3D7_0923800,131,12
PF3D7_0923900,19,2
PF3D7_0924000,624,20
PF3D7_0924100,370,11
PF3D7_0924200,592,32
PF3D7_0924300,195,4
PF3D7_0924400,706,17
PF3D7_0924500,288,8
PF3D7_0924600,1439,27
PF3D7_0924700,178,8
PF3D7_0924800,30,3
PF3D7_0924900,73,7
PF3D7_0925000,80,7
PF3D7_0925100,206,14
PF3D7_0925200,188,7
PF3D7_0925300,184,7
PF3D7_0925400,104,9
PF3D7_0925500,35,3
PF3D7_0925600,10,1
PF3D7_0925700,18,2
PF3D7_0925800,568,18
PF3D7_0925900,24,3
PF3D7_0926000,695,15
PF3D7_0926100,1101,19
PF3D7_0926200,8,1
PF3D7_0926300,302,10
PF3D7_0926400,158,7
PF3D7_0926500,978,35
PF3D7_0926600,560,23
PF3D7_0926700,320,14
PF3D7_0926800,375,15
PF3D7_0926900,51,3
PF3D7_0927000,27,3
PF3D7_0927100,52,4
PF3D7_0927200,1078,41
PF3D7_0927300,139,4
PF3D7_0927400,412,15
PF3D7_0927500,22,2
PF3D7_0927600,378,15
PF3D7_0927700,44,4
PF3D7_0927800,27,1
PF3D7_0927900,26,7
PF3D7_0928000,31,1
PF3D7_0928100,255,20
PF3D7_0928150,25,2
PF3D7_0928200,953,38
PF3D7_0928300,140,6
PF3D7_0928400,46,9
PF3D7_0928500,64,2
PF3D7_0928600,35,4
PF3D7_0928700,860,21
PF3D7_0928800,415,16
PF3D7_0928900,19,1
PF3D7_0929000,80,6
PF3D7_0929100,110,3
PF3D7_0929200,35,1
PF3D7_0929300,342,13
PF3D7_0929400,467,44
PF3D7_0929500,34,4
PF3D7_0929600,34,2
PF3D7_0929700,139,9
PF3D7_0929800,15,1
PF3D7_0929900,62,2
PF3D7_0930000,140,5
PF3D7_0930100,235,9
PF3D7_0930200,311,10
PF3D7_0930300,1276,2
PF3D7_0930400,320,11
PF3D7_0930500,814,39
PF3D7_0930600,227,12
PF3D7_0930700,120,4
PF3D7_0930800,1750,39
PF3D7_0930900,77,3
PF3D7_0931000,390,16
PF3D7_0931100,253,8
PF3D7_0931200,33,1
PF3D7_0931300,156,19
PF3D7_0931400,62,1
PF3D7_0931500,53,4
PF3D7_0931600,75,6
PF3D7_0931700,322,13
PF3D7_0931800,62,7
PF3D7_0931900,64,2
PF3D7_0932000,20,2
PF3D7_0932100,472,12
PF3D7_0932200,23,3
PF3D7_0932300,114,7
PF3D7_0932400,102,7
PF3D7_0932500,231,9
PF3D7_0932600,63,4
PF3D7_0932700,461,19
PF3D7_0932800,332,17
PF3D7_0932900,74,4
PF3D7_0933000,325,9
PF3D7_0933100,405,24
PF3D7_0933200,39,4
PF3D7_0933300,507,19
PF3D7_0933400,69,3
PF3D7_0933500,378,9
PF3D7_0933600,60,1
PF3D7_0933700,41,2
PF3D7_0933800,261,14
PF3D7_0933900,122,3
PF3D7_0934000,173,5
PF3D7_0934100,415,22
PF3D7_0934200,30,1
PF3D7_0934300,34,1
PF3D7_0934400,30,1
PF3D7_0934500,49,2
PF3D7_0934600,72,6
PF3D7_0934700,191,19
PF3D7_0934800,15,2
PF3D7_0934900,173,3
PF3D7_0935000,48,3
PF3D7_0935100,7,1
PF3D7_0935200,564,20
PF3D7_0935300,17,2
PF3D7_0935390,1,1
PF3D7_0935400,447,28
PF3D7_0935500,94,10
PF3D7_0935600,186,22
PF3D7_0935700,99,10
PF3D7_0935800,688,47
PF3D7_0935900,122,23
PF3D7_0936000,56,15
PF3D7_0936100,107,9
PF3D7_0936200,81,11
PF3D7_0936300,250,23
PF3D7_0936400,89,10
PF3D7_0936500,160,9
PF3D7_0936600,80,9
PF3D7_0936700,214,13
PF3D7_0936800,129,5
PF3D7_0937000,196,9
PF3D7_0937100,265,41
PF3D7_0937200,153,9
PF3D7_1001200,17,3
PF3D7_1001300,98,9
PF3D7_1001400,361,31
PF3D7_1001500,34,6
PF3D7_1001600,272,21
PF3D7_1001700,115,21
PF3D7_1001800,79,6
PF3D7_1001900,65,5
PF3D7_1002000,122,13
PF3D7_1002100,84,6
PF3D7_1002200,388,33
PF3D7_1002300,105,6
PF3D7_1002400,53,9
PF3D7_1002500,39,2
PF3D7_1002600,330,19
PF3D7_1002700,486,11
PF3D7_1002800,1290,33
PF3D7_1002900,29,1
PF3D7_1003000,619,26
PF3D7_1003100,23,3
PF3D7_1003200,38,3
PF3D7_1003300,24,1
PF3D7_1003400,1520,32
PF3D7_1003500,3,1
PF3D7_1003600,38,1
PF3D7_1003700,619,20
PF3D7_1003800,520,18
PF3D7_1003900,146,9
PF3D7_1004000,31,2
PF3D7_1004100,603,10
PF3D7_1004200,3517,48
PF3D7_1004300,618,17
PF3D7_1004400,737,17
PF3D7_1004500,33,3
PF3D7_1004600,780,43
PF3D7_1004700,74,4
PF3D7_1004800,231,14
PF3D7_1004900,126,8
PF3D7_1005000,544,13
PF3D7_1005100,818,29
PF3D7_1005200,42,1
PF3D7_1005300,182,6
PF3D7_1005400,190,11
PF3D7_1005500,731,31
PF3D7_1005600,558,20
PF3D7_1005700,552,18
PF3D7_1005800,54,3
PF3D7_1005900,209,3
PF3D7_1006000,191,6
PF3D7_1006100,35,3
PF3D7_1006200,5,1
PF3D7_1006300,59,2
PF3D7_1006400,408,7
PF3D7_1006500,191,8
PF3D7_1006600,22,2
PF3D7_1006700,90,1
PF3D7_1006800,28,4
PF3D7_1006900,32,1
PF3D7_1007000,99,4
PF3D7_1007100,35,1
PF3D7_1007200,100,5
PF3D7_1007300,352,18
PF3D7_1007400,98,4
PF3D7_1007500,64,3
PF3D7_1007600,29,2
PF3D7_1007700,645,14
PF3D7_1007800,876,18
PF3D7_1007900,149,7
PF3D7_1008000,1111,17
PF3D7_1008100,1883,34
PF3D7_1008200,79,3
PF3D7_1008400,15,1
PF3D7_1008500,612,19
PF3D7_1008600,195,6
PF3D7_1008700,7,1
PF3D7_1008800,104,2
PF3D7_1008900,37,1
PF3D7_1009000,99,2
PF3D7_1009100,463,22
PF3D7_1009200,560,22
PF3D7_1009300,211,9
PF3D7_1009400,153,6
PF3D7_1009500,183,8
PF3D7_1009600,146,12
PF3D7_1009700,158,8
PF3D7_1009800,1111,27
PF3D7_1009900,280,10
PF3D7_1010000,24,1
PF3D7_1010100,133,5
PF3D7_1010200,1261,28
PF3D7_1010300,27,2
PF3D7_1010400,150,8
PF3D7_1010500,44,1
PF3D7_1010600,11,4
PF3D7_1010700,32,1
PF3D7_1010800,67,5
PF3D7_1010900,173,4
PF3D7_1011000,16,1
PF3D7_1011100,515,14
PF3D7_1011200,36,3
PF3D7_1011300,164,3
PF3D7_1011400,37,3
PF3D7_1011500,25,4
PF3D7_1011600,257,10
PF3D7_1011700,189,6
PF3D7_1011800,764,35
PF3D7_1011900,90,5
PF3D7_1012000,300,9
PF3D7_1012100,110,4
PF3D7_1012200,106,7
PF3D7_1012300,17,1
PF3D7_1012400,4,1
PF3D7_1012500,116,9
PF3D7_1012600,195,8
PF3D7_1012700,850,21
PF3D7_1012800,249,10
PF3D7_1012900,23,2
PF3D7_1013000,266,8
PF3D7_1013100,629,14
PF3D7_1013200,720,18
PF3D7_1013300,353,12
PF3D7_1013400,522,17
PF3D7_1013500,578,17
PF3D7_1013600,1239,27
PF3D7_1013700,103,5
PF3D7_1013800,249,9
PF3D7_1013900,384,12
PF3D7_1014000,46,1
PF3D7_1014100,695,35
PF3D7_1014200,180,9
PF3D7_1014300,929,18
PF3D7_1014400,48,1
PF3D7_1014500,703,12
PF3D7_1014600,1094,23
PF3D7_1014700,34,2
PF3D7_1014800,298,13
PF3D7_1014900,1766,36
PF3D7_1015000,88,8
PF3D7_1015100,179,7
PF3D7_1015200,161,4
PF3D7_1015300,170,6
PF3D7_1015400,424,9
PF3D7_1015500,196,4
PF3D7_1015600,30,1
PF3D7_1015700,111,15
PF3D7_1015800,34,4
PF3D7_1015900,41,3
PF3D7_1016000,203,8
PF3D7_1016100,119,6
PF3D7_1016200,102,6
PF3D7_1016300,64,6
PF3D7_1016400,127,16
PF3D7_1016500,268,14
PF3D7_1016600,122,3
PF3D7_1016700,991,37
PF3D7_1016800,104,13
PF3D7_1016900,49,10
PF3D7_1017000,90,1
PF3D7_1017100,111,8
PF3D7_1017200,179,1
PF3D7_1017300,325,16
PF3D7_1017400,39,5
PF3D7_1017500,9,1
PF3D7_1017600,488,17
PF3D7_1017700,511,37
PF3D7_1017800,475,12
PF3D7_1017900,93,7
PF3D7_1018000,317,13
PF3D7_1018100,177,10
PF3D7_1018200,928,17
PF3D7_1018300,437,25
PF3D7_1018400,57,10
PF3D7_1018500,7,1
PF3D7_1018600,1118,29
PF3D7_1018700,445,13
PF3D7_1018800,333,16
PF3D7_1018900,296,15
PF3D7_1019000,1024,24
PF3D7_1019100,1092,19
PF3D7_1019200,189,9
PF3D7_1019300,1028,33
PF3D7_1019400,6,1
PF3D7_1019500,186,4
PF3D7_1019600,1037,27
PF3D7_1019700,100,3
PF3D7_1019800,137,5
PF3D7_1019900,7,2
PF3D7_1020000,126,6
PF3D7_1020100,15,2
PF3D7_1020200,435,21
PF3D7_1020300,219,4
PF3D7_1020400,263,9
PF3D7_1020500,179,7
PF3D7_1020600,543,10
PF3D7_1020700,362,10
PF3D7_1020800,203,5
PF3D7_1020900,2,1
PF3D7_1021000,47,2
PF3D7_1021100,1093,31
PF3D7_1021200,263,12
PF3D7_1021300,154,21
PF3D7_1021400,68,3
PF3D7_1021500,264,10
PF3D7_1021600,23,2
PF3D7_1021700,758,5
PF3D7_1021800,412,9
PF3D7_1021900,663,15
PF3D7_1022000,511,16
PF3D7_1022100,56,2
PF3D7_1022200,162,11
PF3D7_1022300,36,1
PF3D7_1022400,156,7
PF3D7_1022500,61,5
PF3D7_1022600,226,7
PF3D7_1022700,19,2
PF3D7_1022800,179,9
PF3D7_1022900,11,1
PF3D7_1023000,132,5
PF3D7_1023100,400,12
PF3D7_1023200,80,4
PF3D7_1023300,17,1
PF3D7_1023400,55,7
PF3D7_1023500,14,2
PF3D7_1023600,140,9
PF3D7_1023700,312,18
PF3D7_1023800,496,20
PF3D7_1023900,1016,24
PF3D7_1024000,179,8
PF3D7_1024100,391,13
PF3D7_1024200,46,3
PF3D7_1024300,14,1
PF3D7_1024400,263,9
PF3D7_1024500,109,2
PF3D7_1024600,102,4
PF3D7_1024700,186,10
PF3D7_1024800,471,24
PF3D7_1024900,697,19
PF3D7_1025000,387,19
PF3D7_1025100,143,8
PF3D7_1025200,82,4
PF3D7_1025300,276,20
PF3D7_1025400,506,19
PF3D7_1025500,632,0
PF3D7_1025600,13,2
PF3D7_1025700,70,3
PF3D7_1025800,6,1
PF3D7_1025900,787,29
PF3D7_1026000,303,19
PF3D7_1026100,54,3
PF3D7_1026200,243,13
PF3D7_1026300,541,15
PF3D7_1026400,237,6
PF3D7_1026500,19,2
PF3D7_1026600,660,22
PF3D7_1026800,13,2
PF3D7_1026900,64,4
PF3D7_1027000,733,20
PF3D7_1027100,346,15
PF3D7_1027200,129,3
PF3D7_1027300,243,11
PF3D7_1027400,14,3
PF3D7_1027500,18,2
PF3D7_1027600,133,7
PF3D7_1027700,13,1
PF3D7_1027800,17,1
PF3D7_1027900,40,1
PF3D7_1028000,154,4
PF3D7_1028100,230,9
PF3D7_1028200,56,8
PF3D7_1028300,155,9
PF3D7_1028400,170,14
PF3D7_1028500,593,18
PF3D7_1028600,60,2
PF3D7_1028700,419,20
PF3D7_1028800,29,3
PF3D7_1028900,159,5
PF3D7_1029100,843,28
PF3D7_1029200,264,4
PF3D7_1029300,417,13
PF3D7_1029400,95,9
PF3D7_1029500,87,6
PF3D7_1029600,74,6
PF3D7_1029700,277,9
PF3D7_1029800,108,4
PF3D7_1029900,638,21
PF3D7_1030000,38,2
PF3D7_1030100,221,12
PF3D7_1030200,118,9
PF3D7_1030300,960,36
PF3D7_1030400,145,5
PF3D7_1030500,101,4
PF3D7_1030600,198,6
PF3D7_1030700,89,3
PF3D7_1030800,80,3
PF3D7_1030900,91,10
PF3D7_1031000,32,6
PF3D7_1031100,125,7
PF3D7_1031200,62,4
PF3D7_1031300,548,27
PF3D7_1031400,522,19
PF3D7_1031500,410,12
PF3D7_1031600,557,20
PF3D7_1031700,46,2
PF3D7_1031800,168,6
PF3D7_1031900,260,23
PF3D7_1032000,324,15
PF3D7_1032100,1696,49
PF3D7_1032200,68,4
PF3D7_1032300,517,23
PF3D7_1032400,42,5
PF3D7_1032500,35,2
PF3D7_1032600,137,16
PF3D7_1032700,161,9
PF3D7_1032800,58,3
PF3D7_1032900,1651,43
PF3D7_1033000,260,15
PF3D7_1033100,3107,43
PF3D7_1033200,249,26
PF3D7_1033300,27,1
PF3D7_1033400,59,6
PF3D7_1033500,296,10
PF3D7_1033600,401,12
PF3D7_1033700,92,3
PF3D7_1033800,207,5
PF3D7_1033900,12,1
PF3D7_1034000,142,8
PF3D7_1034100,26,3
PF3D7_1034200,81,5
PF3D7_1034300,251,9
PF3D7_1034400,86,5
PF3D7_1034500,1453,50
PF3D7_1034600,131,6
PF3D7_1034700,9,2
PF3D7_1034800,190,22
PF3D7_1034900,416,28
PF3D7_1035000,1403,98
PF3D7_1035100,825,88
PF3D7_1035200,3,0
PF3D7_1035300,905,35
PF3D7_1035400,49,7
PF3D7_1035500,140,17
PF3D7_1035600,134,13
PF3D7_1035700,474,48
PF3D7_1035800,43,6
PF3D7_1035900,10,1
PF3D7_1036000,98,11
PF3D7_1036300,402,31
PF3D7_1036400,37,1
PF3D7_1036500,241,11
PF3D7_1036600,39,1
PF3D7_1036700,50,3
PF3D7_1036800,108,13
PF3D7_1036900,607,38
PF3D7_1037000,957,25
PF3D7_1037100,185,8
PF3D7_1037200,245,10
PF3D7_1037300,13,2
PF3D7_1037400,862,28
PF3D7_1037500,43,3
PF3D7_1037600,103,6
PF3D7_1037700,8,1
PF3D7_1037800,311,9
PF3D7_1037900,53,5
PF3D7_1038000,9,1
PF3D7_1038100,498,18
PF3D7_1038200,15,2
PF3D7_1038300,114,7
PF3D7_1038400,0,0
PF3D7_1038500,104,7
PF3D7_1038600,234,29
PF3D7_1038700,90,5
PF3D7_1038800,430,20
PF3D7_1038900,37,8
PF3D7_1039000,645,54
PF3D7_1102300,144,8
PF3D7_1102400,409,27
PF3D7_1102500,425,47
PF3D7_1102600,173,11
PF3D7_1102700,49,4
PF3D7_1102800,28,9
PF3D7_1102900,136,11
PF3D7_1103000,207,48
PF3D7_1103100,12,2
PF3D7_1103300,11,1
PF3D7_1103400,345,18
PF3D7_1103500,199,14
PF3D7_1103600,78,6
PF3D7_1103700,32,3
PF3D7_1103800,1647,34
PF3D7_1103900,37,3
PF3D7_1104000,235,4
PF3D7_1104100,99,2
PF3D7_1104200,480,15
PF3D7_1104300,882,33
PF3D7_1104400,67,2
PF3D7_1104500,318,14
PF3D7_1104600,526,22
PF3D7_1104700,37,1
PF3D7_1104800,45,1
PF3D7_1104900,855,15
PF3D7_1105000,1,1
PF3D7_1105100,4,1
PF3D7_1105200,237,7
PF3D7_1105300,332,17
PF3D7_1105400,19,2
PF3D7_1105500,41,1
PF3D7_1105600,536,31
PF3D7_1105700,137,6
PF3D7_1105800,21,3
PF3D7_1105900,56,3
PF3D7_1106000,60,4
PF3D7_1106100,76,3
PF3D7_1106200,333,10
PF3D7_1106300,244,14
PF3D7_1106400,31,3
PF3D7_1106500,414,6
PF3D7_1106600,609,13
PF3D7_1106700,393,11
PF3D7_1106800,1168,27
PF3D7_1106900,59,1
PF3D7_1107000,49,4
PF3D7_1107100,307,10
PF3D7_1107200,463,26
PF3D7_1107300,1915,37
PF3D7_1107400,13,3
PF3D7_1107500,62,3
PF3D7_1107600,714,21
PF3D7_1107700,371,12
PF3D7_1107800,1222,25
PF3D7_1107900,782,20
PF3D7_1108000,487,20
PF3D7_1108100,391,11
PF3D7_1108200,31,2
PF3D7_1108300,28,1
PF3D7_1108400,12,3
PF3D7_1108500,81,3
PF3D7_1108600,51,4
PF3D7_1108700,120,6
PF3D7_1108800,94,3
PF3D7_1108900,289,11
PF3D7_1109100,1686,56
PF3D7_1109200,122,4
PF3D7_1109400,182,8
PF3D7_1109900,31,2
PF3D7_1110000,47,2
PF3D7_1110100,537,25
PF3D7_1110200,619,20
PF3D7_1110300,172,14
PF3D7_1110400,704,27
PF3D7_1110500,321,14
PF3D7_1110600,55,3
PF3D7_1110700,72,4
PF3D7_1110800,89,2
PF3D7_1110900,368,8
PF3D7_1111000,396,16
PF3D7_1111100,33,1
PF3D7_1111200,350,10
PF3D7_1111300,88,3
PF3D7_1111400,69,5
PF3D7_1111500,58,4
PF3D7_1111600,371,16
PF3D7_1111700,454,17
PF3D7_1111800,119,3
PF3D7_1111900,68,4
PF3D7_1112000,15,1
PF3D7_1112100,958,21
PF3D7_1112200,53,1
PF3D7_1112300,380,17
PF3D7_1112400,37,2
PF3D7_1112500,149,3
PF3D7_1112600,361,22
PF3D7_1112700,632,20
PF3D7_1112800,141,5
PF3D7_1112900,124,4
PF3D7_1113000,3854,31
PF3D7_1113100,24,2
PF3D7_1113200,60,4
PF3D7_1113300,59,6
PF3D7_1113400,84,4
PF3D7_1113500,368,13
PF3D7_1113600,263,19
PF3D7_1113700,90,2
PF3D7_1113800,146,4
PF3D7_1113900,74,3
PF3D7_1114000,81,5
PF3D7_1114100,56,2
PF3D7_1114200,30,1
PF3D7_1114300,10,1
PF3D7_1114400,243,14
PF3D7_1114500,222,6
PF3D7_1114600,188,10
PF3D7_1114700,198,6
PF3D7_1114800,129,9
PF3D7_1114900,1120,28
PF3D7_1115000,45,2
PF3D7_1115100,118,6
PF3D7_1115200,246,13
PF3D7_1115300,164,21
PF3D7_1115400,158,8
PF3D7_1115500,87,5
PF3D7_1115600,33,1
PF3D7_1115700,102,13
PF3D7_1115800,227,9
PF3D7_1115900,63,6
PF3D7_1116000,529,21
PF3D7_1116100,906,22
PF3D7_1116200,61,3
PF3D7_1116300,24,1
PF3D7_1116400,264,10
PF3D7_1116500,34,2
PF3D7_1116600,251,19
PF3D7_1116700,237,18
PF3D7_1116800,85,10
PF3D7_1116900,28,3
PF3D7_1117000,572,17
PF3D7_1117100,132,4
PF3D7_1117200,1083,26
PF3D7_1117300,21,3
PF3D7_1117400,206,9
PF3D7_1117500,190,6
PF3D7_1117600,42,1
PF3D7_1117700,3,1
PF3D7_1117800,254,9
PF3D7_1117900,1231,35
PF3D7_1118000,23,2
PF3D7_1118100,10,1
PF3D7_1118200,398,20
PF3D7_1118300,484,20
PF3D7_1118400,32,2
PF3D7_1118500,209,10
PF3D7_1118600,116,4
PF3D7_1118700,229,5
PF3D7_1118800,109,5
PF3D7_1118900,70,3
PF3D7_1119000,117,6
PF3D7_1119100,98,3
PF3D7_1119200,73,6
PF3D7_1119300,64,3
PF3D7_1119400,823,19
PF3D7_1119500,54,3
PF3D7_1119600,338,17
PF3D7_1119700,106,10
PF3D7_1119800,22,2
PF3D7_1119900,1285,26
PF3D7_1120000,16,1
PF3D7_1120100,16,1
PF3D7_1120200,13,1
PF3D7_1120300,154,5
PF3D7_1120400,200,21
PF3D7_1120500,239,6
PF3D7_1120600,493,10
PF3D7_1120700,552,17
PF3D7_1120800,19,2
PF3D7_1120900,25,3
PF3D7_1121000,32,2
PF3D7_1121100,483,17
PF3D7_1121200,29,1
PF3D7_1121300,460,19
PF3D7_1121400,117,2
PF3D7_1121500,156,5
PF3D7_1121600,80,16
PF3D7_1121700,143,8
PF3D7_1121800,543,22
PF3D7_1121900,213,6
PF3D7_1122000,98,5
PF3D7_1122100,118,3
PF3D7_1122200,138,7
PF3D7_1122300,62,5
PF3D7_1122400,221,8
PF3D7_1122500,681,16
PF3D7_1122600,583,16
PF3D7_1122700,78,3
PF3D7_1122800,482,17
PF3D7_1122900,972,20
PF3D7_1123000,1270,37
PF3D7_1123100,404,13
PF3D7_1123200,277,8
PF3D7_1123300,170,8
PF3D7_1123400,94,4
PF3D7_1123500,331,14
PF3D7_1123600,279,12
PF3D7_1123700,56,2
PF3D7_1123800,450,15
PF3D7_1123900,7,1
PF3D7_1124000,71,20
PF3D7_1124100,1501,38
PF3D7_1124200,149,7
PF3D7_1124300,218,10
PF3D7_1124400,37,1
PF3D7_1124500,249,8
PF3D7_1124600,76,9
PF3D7_1124700,129,12
PF3D7_1124800,63,3
PF3D7_1124900,25,2
PF3D7_1125000,76,2
PF3D7_1125100,377,26
PF3D7_1125200,43,1
PF3D7_1125300,368,9
PF3D7_1125400,112,7
PF3D7_1125500,17,1
PF3D7_1125600,30,2
PF3D7_1125700,304,25
PF3D7_1125800,185,13
PF3D7_1125900,11,1
PF3D7_1126000,527,22
PF3D7_1126100,1784,35
PF3D7_1126200,15,1
PF3D7_1126300,343,21
PF3D7_1126400,60,1
PF3D7_1126500,654,26
PF3D7_1126600,441,30
PF3D7_1126700,259,15
PF3D7_1126800,1416,43
PF3D7_1126900,12,1
PF3D7_1127000,87,15
PF3D7_1127100,43,4
PF3D7_1127200,19,1
PF3D7_1127300,81,2
PF3D7_1127400,61,2
PF3D7_1127500,114,4
PF3D7_1127600,17,3
PF3D7_1127700,237,7
PF3D7_1127800,457,15
PF3D7_1127900,136,5
PF3D7_1128000,663,19
PF3D7_1128100,57,5
PF3D7_1128200,17,2
PF3D7_1128300,364,17
PF3D7_1128400,61,6
PF3D7_1128500,411,17
PF3D7_1128600,277,8
PF3D7_1128700,246,16
PF3D7_1128900,219,20
PF3D7_1129000,79,12
PF3D7_1129100,448,36
PF3D7_1129200,50,3
PF3D7_1129300,1181,34
PF3D7_1129400,272,11
PF3D7_1129500,302,11
PF3D7_1129600,807,21
PF3D7_1129700,39,3
PF3D7_1129800,102,5
PF3D7_1129900,132,14
PF3D7_1130000,678,17
PF3D7_1130100,13,1
PF3D7_1130200,53,1
PF3D7_1130400,31,1
PF3D7_1130500,438,8
PF3D7_1130600,488,16
PF3D7_1130700,1189,41
PF3D7_1130800,74,8
PF3D7_1130900,772,24
PF3D7_1131000,130,8
PF3D7_1131100,579,26
PF3D7_1131200,100,6
PF3D7_1131300,382,22
PF3D7_1131400,986,18
PF3D7_1131500,103,8
PF3D7_1131600,1383,26
PF3D7_1131700,73,2
PF3D7_1131800,1368,35
PF3D7_1131900,420,20
PF3D7_1132000,392,11
PF3D7_1132100,840,33
PF3D7_1132200,58,3
PF3D7_1132300,23,1
PF3D7_1132400,829,23
PF3D7_1132500,1071,30
PF3D7_1132600,175,7
PF3D7_1132700,76,2
PF3D7_1132800,31,4
PF3D7_1132900,62,4
PF3D7_1133000,18,9
PF3D7_1133100,300,11
PF3D7_1133200,757,26
PF3D7_1133300,46,5
PF3D7_1133400,1860,84
PF3D7_1133500,83,7
PF3D7_1133600,236,16
PF3D7_1133700,374,16
PF3D7_1133800,251,17
PF3D7_1133900,676,33
PF3D7_1134000,59,11
PF3D7_1134100,92,3
PF3D7_1134200,1198,30
PF3D7_1134300,1691,32
PF3D7_1134400,36,3
PF3D7_1134500,1085,33
PF3D7_1134600,1631,39
PF3D7_1134700,288,16
PF3D7_1134800,81,4
PF3D7_1134900,321,12
PF3D7_1135000,40,3
PF3D7_1135100,408,49
PF3D7_1135300,111,8
PF3D7_1135400,45,5
PF3D7_1135500,122,2
PF3D7_1135600,873,32
PF3D7_1135700,23,2
PF3D7_1135800,105,6
PF3D7_1135900,28,2
PF3D7_1136000,1576,23
PF3D7_1136100,361,13
PF3D7_1136200,652,26
PF3D7_1136300,518,18
PF3D7_1136400,599,19
PF3D7_1136500,5,1
PF3D7_1136600,1102,28
PF3D7_1136700,135,2
PF3D7_1136800,75,3
PF3D7_1136900,976,49
PF3D7_1137000,4,1
PF3D7_1137100,200,9
PF3D7_1137200,231,7
PF3D7_1137300,266,10
PF3D7_1137400,93,4
PF3D7_1137500,50,2
PF3D7_1137600,540,13
PF3D7_1137700,445,11
PF3D7_1137800,70,6
PF3D7_1137900,841,28
PF3D7_1138000,2197,36
PF3D7_1138100,58,4
PF3D7_1138200,55,3
PF3D7_1138300,102,3
